,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,State
4109,779,878,1117,1429,1515,Addison County,130,VT
4110,779,878,1117,1429,1515,Addison County,335,VT
4111,779,878,1117,1429,1515,Addison County,300,VT
4112,779,878,1117,1429,1515,Addison County,1165,VT
4113,779,878,1117,1429,1515,Addison County,1340,VT
4114,779,878,1117,1429,1515,Addison County,8540,VT
4115,779,878,1117,1429,1515,Addison County,1950,VT
4116,779,878,1117,1429,1515,Addison County,1690,VT
4117,779,878,1117,1429,1515,Addison County,1345,VT
4118,779,878,1117,1429,1515,Addison County,580,VT
4119,779,878,1117,1429,1515,Addison County,610,VT
4120,779,878,1117,1429,1515,Addison County,1085,VT
4121,779,878,1117,1429,1515,Addison County,1220,VT
4122,779,878,1117,1429,1515,Addison County,1830,VT
4123,779,878,1117,1429,1515,Addison County,2605,VT
4124,779,878,1117,1429,1515,Addison County,425,VT
4125,779,878,1117,1429,1515,Addison County,885,VT
4126,779,878,1117,1429,1515,Addison County,370,VT
4127,763,822,1018,1337,1380,Bennington County,2545,VT
4128,763,822,1018,1337,1380,Bennington County,15240,VT
4129,763,822,1018,1337,1380,Bennington County,2080,VT
4130,763,822,1018,1337,1380,Bennington County,4,VT
4131,763,822,1018,1337,1380,Bennington County,110,VT
4132,763,822,1018,1337,1380,Bennington County,4285,VT
4133,763,822,1018,1337,1380,Bennington County,330,VT
4134,763,822,1018,1337,1380,Bennington County,3450,VT
4135,763,822,1018,1337,1380,Bennington County,725,VT
4136,763,822,1018,1337,1380,Bennington County,645,VT
4137,763,822,1018,1337,1380,Bennington County,375,VT
4138,763,822,1018,1337,1380,Bennington County,105,VT
4139,763,822,1018,1337,1380,Bennington County,3485,VT
4140,763,822,1018,1337,1380,Bennington County,865,VT
4141,763,822,1018,1337,1380,Bennington County,900,VT
4142,763,822,1018,1337,1380,Bennington County,590,VT
4143,763,822,1018,1337,1380,Bennington County,320,VT
4144,741,770,877,1084,1501,Caledonia County,1645,VT
4145,741,770,877,1084,1501,Caledonia County,1450,VT
4146,741,770,877,1084,1501,Caledonia County,2230,VT
4147,741,770,877,1084,1501,Caledonia County,995,VT
4148,741,770,877,1084,1501,Caledonia County,2905,VT
4149,741,770,877,1084,1501,Caledonia County,600,VT
4150,741,770,877,1084,1501,Caledonia County,5850,VT
4151,741,770,877,1084,1501,Caledonia County,560,VT
4152,741,770,877,1084,1501,Caledonia County,690,VT
4153,741,770,877,1084,1501,Caledonia County,1000,VT
4154,741,770,877,1084,1501,Caledonia County,7375,VT
4155,741,770,877,1084,1501,Caledonia County,670,VT
4156,741,770,877,1084,1501,Caledonia County,225,VT
4157,741,770,877,1084,1501,Caledonia County,1035,VT
4158,741,770,877,1084,1501,Caledonia County,1000,VT
4159,741,770,877,1084,1501,Caledonia County,1430,VT
4160,741,770,877,1084,1501,Caledonia County,910,VT
